Index,ID,Name,URL,Star_count,OpenIssues_count,Fork_count,created_time,Pushed_time,Update_time,Duration(>180)
200,26066727,mermaid,https://github.com/mermaid-js/mermaid,33427,327,2298,2014-11-01T23:52:32Z,2020-12-15T23:57:39Z,2020-12-17T01:32:57Z,YES
201,15062869,jest,https://github.com/facebook/jest,33420,1294,4813,2013-12-10T00:18:04Z,2020-12-16T06:45:34Z,2020-12-17T01:11:31Z,YES
202,1663468,pdf.js,https://github.com/mozilla/pdf.js,33299,648,7816,2011-04-26T06:32:03Z,2020-12-16T19:19:26Z,2020-12-17T01:12:07Z,YES
203,1828795,AFNetworking,https://github.com/AFNetworking/AFNetworking,33041,50,10192,2011-05-31T21:28:44Z,2020-12-15T12:32:19Z,2020-12-16T21:13:32Z,YES
204,106017343,tailwindcss,https://github.com/tailwindlabs/tailwindcss,32919,35,1510,2017-10-06T14:59:14Z,2020-12-15T08:03:04Z,2020-12-17T01:30:54Z,YES
208,128907699,dayjs,https://github.com/iamkun/dayjs,32814,147,1558,2018-04-10T09:26:44Z,2020-12-10T14:48:16Z,2020-12-17T01:52:54Z,YES
210,80945428,nest,https://github.com/nestjs/nest,32696,110,2994,2017-02-04T20:12:52Z,2020-12-16T14:22:43Z,2020-12-17T01:54:17Z,YES
211,71995937,nuxt.js,https://github.com/nuxt/nuxt.js,32586,337,2731,2016-10-26T11:18:47Z,2020-12-16T15:24:06Z,2020-12-16T22:50:10Z,YES
212,19148949,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,32414,1891,8217,2014-04-25T14:29:47Z,2020-12-08T08:57:53Z,2020-12-16T19:19:38Z,YES
213,2935735,brackets,https://github.com/adobe/brackets,32357,2759,6726,2011-12-07T21:14:40Z,2020-12-07T21:26:38Z,2020-12-16T20:55:16Z,YES
215,11167738,gulp,https://github.com/gulpjs/gulp,32031,24,4408,2013-07-04T05:26:06Z,2020-12-06T16:10:22Z,2020-12-16T20:55:50Z,YES
217,42408804,traefik,https://github.com/traefik/traefik,31900,586,3522,2015-09-13T19:04:02Z,2020-12-16T22:09:09Z,2020-12-17T01:59:09Z,YES
218,65794292,styled-components,https://github.com/styled-components/styled-components,31890,178,1950,2016-08-16T06:41:32Z,2020-12-16T19:28:02Z,2020-12-17T01:28:50Z,YES
220,12820537,slate,https://github.com/slatedocs/slate,31742,26,19924,2013-09-13T22:15:24Z,2020-12-16T21:50:37Z,2020-12-17T01:27:33Z,YES
221,29268051,material-design-lite,https://github.com/google/material-design-lite,31730,372,5245,2015-01-14T22:01:33Z,2020-11-13T08:35:28Z,2020-12-16T17:00:17Z,YES
222,43441403,strapi,https://github.com/strapi/strapi,31588,380,3996,2015-09-30T15:34:48Z,2020-12-16T17:18:50Z,2020-12-17T01:59:57Z,YES
223,39464018,incubator-superset,https://github.com/apache/incubator-superset,31557,460,6503,2015-07-21T18:55:34Z,2020-12-17T01:32:48Z,2020-12-17T01:13:45Z,YES
224,12972263,fullPage.js,https://github.com/alvarotrigo/fullPage.js,31413,189,7229,2013-09-20T11:58:29Z,2020-11-28T12:32:16Z,2020-12-16T23:25:12Z,YES
225,7741856,pixi.js,https://github.com/pixijs/pixi.js,31396,67,4217,2013-01-21T22:40:50Z,2020-12-17T01:58:08Z,2020-12-17T01:55:43Z,YES
226,6093316,DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,31333,3787,23449,2012-10-05T16:39:45Z,2020-12-17T01:24:51Z,2020-12-16T21:47:00Z,YES
227,29207621,caddy,https://github.com/caddyserver/caddy,31273,77,2574,2015-01-13T19:45:03Z,2020-12-16T22:22:22Z,2020-12-16T22:22:28Z,YES
228,14370955,hackathon-starter,https://github.com/sahat/hackathon-starter,31218,19,6976,2013-11-13T17:24:12Z,2020-12-10T20:38:38Z,2020-12-17T01:40:14Z,YES
229,12791642,caffe,https://github.com/BVLC/caffe,31188,1155,18666,2013-09-12T18:39:48Z,2020-11-22T03:28:34Z,2020-12-17T01:50:40Z,YES
230,1644196,julia,https://github.com/JuliaLang/julia,31091,3969,4233,2011-04-21T07:01:50Z,2020-12-17T00:14:50Z,2020-12-17T01:24:24Z,YES
232,1129010,jQuery-File-Upload,https://github.com/blueimp/jQuery-File-Upload,30887,51,8179,2010-12-01T15:35:32Z,2020-12-16T08:25:56Z,2020-12-16T22:46:44Z,YES
233,27442967,fastlane,https://github.com/fastlane/fastlane,30760,181,4753,2014-12-02T17:00:38Z,2020-12-16T14:30:26Z,2020-12-17T01:45:28Z,YES
237,21413198,immutable-js,https://github.com/immutable-js/immutable-js,30510,192,1769,2014-07-02T06:02:29Z,2020-11-05T19:34:33Z,2020-12-16T16:39:24Z,YES
239,11551538,koa,https://github.com/koajs/koa,30398,40,2907,2013-07-20T18:53:45Z,2020-10-29T14:30:28Z,2020-12-17T01:40:07Z,YES
242,8681349,huginn,https://github.com/huginn/huginn,30311,503,2864,2013-03-10T06:00:31Z,2020-12-07T04:09:18Z,2020-12-17T01:50:39Z,YES
244,70198875,lottie-android,https://github.com/airbnb/lottie-android,30263,39,4839,2016-10-06T22:42:42Z,2020-12-06T20:42:06Z,2020-12-17T01:48:13Z,YES
245,667006,video.js,https://github.com/videojs/video.js,30207,265,6670,2010-05-14T18:45:10Z,2020-12-15T19:48:45Z,2020-12-17T01:32:48Z,YES
248,42751014,clipboard.js,https://github.com/zenorocha/clipboard.js,29718,17,3745,2015-09-18T23:04:55Z,2020-12-12T09:20:23Z,2020-12-17T01:24:11Z,YES
250,931135,Leaflet,https://github.com/Leaflet/Leaflet,29659,586,4724,2010-09-22T16:57:44Z,2020-12-14T14:52:41Z,2020-12-17T00:38:25Z,YES
253,32689863,manim,https://github.com/3b1b/manim,28984,331,3697,2015-03-22T18:50:58Z,2020-12-04T16:26:20Z,2020-12-17T00:28:31Z,YES
254,667561,faker.js,https://github.com/Marak/faker.js,28966,279,2499,2010-05-15T00:53:07Z,2020-12-15T21:38:58Z,2020-12-17T00:48:33Z,YES
255,35866694,Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,28958,1995,6335,2015-05-19T07:36:09Z,2020-12-17T01:48:00Z,2020-12-17T01:26:53Z,YES
258,2573058,foundation-sites,https://github.com/foundation/foundation-sites,28874,316,5752,2011-10-13T23:05:42Z,2020-12-11T07:02:39Z,2020-12-17T01:39:09Z,YES
260,67962648,vuetify,https://github.com/vuetifyjs/vuetify,28829,1184,5221,2016-09-12T00:39:35Z,2020-12-16T23:17:59Z,2020-12-17T00:54:14Z,YES
263,51980455,alacritty,https://github.com/alacritty/alacritty,28645,328,1449,2016-02-18T05:02:30Z,2020-12-17T01:05:41Z,2020-12-17T01:05:45Z,YES
265,9393759,phaser,https://github.com/photonstorm/phaser,28620,60,6347,2013-04-12T12:27:51Z,2020-12-17T02:00:47Z,2020-12-16T23:44:12Z,YES
266,27729880,grpc,https://github.com/grpc/grpc,28619,712,7316,2014-12-08T18:58:53Z,2020-12-17T01:43:19Z,2020-12-17T01:44:39Z,YES
268,5239185,quill,https://github.com/quilljs/quill,28408,996,2337,2012-07-30T23:23:18Z,2020-11-29T21:17:07Z,2020-12-16T23:18:11Z,YES
275,1200050,phantomjs,https://github.com/ariya/phantomjs,28044,22,5783,2010-12-27T08:18:58Z,2020-07-14T12:14:53Z,2020-12-16T21:14:24Z,YES
276,63266213,og-aws,https://github.com/open-guides/og-aws,28011,131,2836,2016-07-13T17:30:16Z,2020-12-15T03:24:44Z,2020-12-16T20:44:18Z,YES
277,20619036,pi-hole,https://github.com/pi-hole/pi-hole,27958,200,1838,2014-06-08T15:02:55Z,2020-12-13T15:25:46Z,2020-12-17T01:35:46Z,YES
281,42283287,preact,https://github.com/preactjs/preact,27838,178,1534,2015-09-11T02:40:18Z,2020-12-17T02:01:18Z,2020-12-16T22:16:05Z,YES
283,952189,backbone,https://github.com/jashkenas/backbone,27704,95,5626,2010-09-30T19:41:28Z,2020-05-19T16:52:55Z,2020-12-16T07:07:53Z,YES
284,26783295,kong,https://github.com/Kong/kong,27691,381,3609,2014-11-17T23:56:08Z,2020-12-16T21:51:48Z,2020-12-17T01:25:28Z,YES
