Account,Availability,GitHub Apps,GitHub Accounts,GitHub Actions,Functionality Notes,CI Task Assistance,Code Review Assistance,Community Management,Dependency and Security Check,Documentation,Issue and PR Management,Open Source,Bot Creation Framework,Website/Info
['robot-clickhouse'],Private,True,False,False,"auto backport pull-request, auto push, auto create and delete branches while merging. (generic bot)",True,False,False,True,False,False,False,,https://githubmemory.com/@robot-clickhouse
['runfoapp'],Private,False,True,False,Static analysis the PR,False,True,False,False,False,False,False,,https://runfo.azurewebsites.net/
"['rust-timer', 'rustbot']",Private,False,True,False,Run performance timer on PR and compare performance.,False,True,False,False,False,False,False,,https://githubmemory.com/@rust-timer https://githubmemory.com/@rustbot
['sailsbot'],Private,False,True,False,"PR guideline check
Contributor Licence Agreement",False,False,True,False,False,True,False,,https://githubmemory.com/@sailsbot
['semantic-release-bot'],Private,False,True,False,"determining the next version number, tag branches, generating the release notes, and publishing the package (release help)",True,False,False,False,True,False,False,,https://github.com/semantic-release-bot
"['shields-ci', 'shields-deployment', 'shields-cd']",Private,False,True,False,"Continuous Intergration Enhancement
Deployment",True,False,False,False,False,False,False,,https://githubmemory.com/@shields-ci
['sizebot'],Private,False,True,False,comment the size of the PR,False,True,False,False,False,False,False,,https://githubmemory.com/@sizebot
['SpacemacsBot'],Private,False,True,False,push documentation updates commit,True,False,False,False,True,False,False,,https://githubmemory.com/@SpacemacsBot
"['spring-buildmaster', 'spring-builds']",Private,False,True,False,"publish release, push code, tag branches",True,False,False,False,True,False,False,,https://githubmemory.com/@spring-builds
['spring-project-issue'],Private,False,True,False,create and label issues,False,False,False,False,False,True,False,,https://github.com/spring-projects-issues
['sre-bot'],Private,False,True,False,check PR format,False,False,False,False,False,True,False,,https://github.com/sre-bot
['st-review'],Private,False,True,False,close idle PR,False,False,False,False,False,True,False,,https://githubmemory.com/@st-review
['strapi-cla'],Private,False,True,False,Contributor Lisence Agreement,False,False,True,False,False,False,False,,https://github.com/strapi-cla
['swagger-bot'],Private,False,True,False,"push commits, approve tested PR",True,False,False,False,False,False,False,,https://githubmemory.com/@swagger-bot
['swift-ci'],Private,False,True,False,build and test,True,False,False,False,False,False,False,,https://github.com/apple/swift/blob/main/docs/ContinuousIntegration.md
['SwiftLintBot'],Private,False,True,False,warning and message of the pr,False,True,False,True,False,False,False,Danger,https://githubmemory.com/@SwiftLintBot
['taichi-gardener'],Private,False,True,False,"auto format, push commits",True,True,False,False,False,False,False,,https://github.com/taichi-gardener
"['tensorflow-butler', 'tensorflow-jenkins', 'tensorflowbutler']",Private,False,True,False,"label/unlabel issues
push commits
build and test",True,False,False,False,False,True,False,,https://github.com/tensorflowbutler
['ti-chi-bot'],Private,False,True,False,"Run test on PR, label/unlabel issues and PR, auto merge passed PR, welcome contributors",True,True,True,False,False,True,False,,https://githubmemory.com/@ti-chi-bot
['ti-srebot'],Private,False,True,False,"auto create PR, community managing, run test",True,False,True,False,False,True,False,,https://github.com/ti-srebot
['tqdm-bot'],Private,False,True,False,"Push commits, create/delete branch tags, publish release",True,False,False,False,True,True,False,,https://githubmemory.com/@tqdm-bot
['traefiker'],Private,False,True,False,"push commits, create issues, publish release",True,False,False,False,True,True,False,,https://githubmemory.com/@traefiker
['typescript-bot'],Private,False,True,False,"ask filling issue template, generating bug report format",False,False,False,False,True,True,False,,"https://github.com/typescript-bot
https://githubmemory.com/@typescript-bot"
